Send feedback to Google	向 Google 发送反馈
Related to your search	与您搜索过的内容相关
Unable to share collection. Please check your popup blocker.	无法分享集合。请检查您的弹出式内容拦截器。
Sao Tome and Principe	圣多美和普林西比
Saint Kitts and Nevis	圣基茨和尼维斯
Saint Pierre and Miquelon	圣皮埃尔和密克隆
Bonaire, Sint Eustatius, and Saba	博奈尔岛、圣尤斯特歇斯岛和萨巴岛
My SafeSearch setting keeps turning off	我的安全搜索设置总是会自动关闭
If you allow cookies, SafeSearch should stay on.	如果您允许 Cookie，安全搜索功能应该会保持开启状态。
Block explicit results on Google using SafeSearch	利用安全搜索功能屏蔽 Google 中包含露骨内容的搜索结果
Find widgets on Google Play	在 Google Play 中查找微件
Notices about Filtered Results	关于过滤结果的声明
A label showing the percentage change in price.	该标签显示价格变化百分比。
This reminder has been deleted. Please refresh the browser to view the updated list.	此提醒已删除。请刷新浏览器，以查看更新后的列表。
From your Gmail reservation	来自您 Gmail 中的预订信息
You can delete all of this data or change this setting.	您可以全部删除这些数据，也可以更改此设置。
Select one from the following list of service providers	从以下列表中选择一个服务提供商
Google Search Page Header	Google 搜索页面标题
Search for a company or symbol	搜索公司或股票代码
Keep track of your watchlist and watch how it performs	跟踪您关注的股票并查看它们的表现
Unable to share collection	无法分享集合
Stories must be a least four pages	故事必须至少有四页
Final · See stats, news, and more	已结束 · 查看统计信息、新闻及其他相关内容
Get it on Google Play	从 Google Play 下载
Data shared for research	出于调查目的共享的数据
See and delete your preferences about News.	查看和删除您的 Google 新闻偏好。
Manage music you’ve identified with the Sound Search widget.	管理您使用声音搜索微件识别出的音乐。
View YouTube Community posts	查看 YouTube 社区帖子
Manage Google Play Sound Search History	管理 Google Play 声音搜索记录
Google Play Sound Search History	Google Play 声音搜索记录
Comments on YouTube Community posts	对 YouTube 社区帖子的评论
Comments on YouTube videos	对 YouTube 视频的评论
See and delete your answers to survey questions from Google.	查看和删除您对 Google 调查问卷给出的回答。
Teams and leagues you follow	您关注的球队和联赛
A performance comparison of financial entities, composed of table and chart.	金融实体表现对比，包含表格和图表。
A table showing the prices at the selected time point in the chart.	按图表中所选时间点显示价格的表格。
Your answers will improve Search for other people. Learn more.	您的答案将改善其他人的搜索结果。了解详情。
You suggested this change. Edit?	您建议了这个更改。要修改吗？
Improve the language on this page	改善此页的翻译内容
Manage your Google Tag Manager container versions	管理您的 Google 跟踪代码管理器容器版本
View monetary and non-monetary YouTube Analytics reports for your YouTube content	查看 YouTube 分析工具为您的 YouTube 内容生成的财务类和非财务类报告
View YouTube Analytics reports for your YouTube content	查看 YouTube 分析工具为您的 YouTube 内容出具的报告
View your Google Tag Manager container and its subcomponents	查看 Google 跟踪代码管理器容器及其子组件
Manage user permissions of your Google Tag Manager account and container	管理 Google 跟踪代码管理器帐号和容器的用户权限
Publish your Google Tag Manager container versions	发布您的 Google 跟踪代码管理器容器版本
View and manage creatives and campaigns for DoubleClick Studio	查看和管理 DoubleClick Studio 的广告素材和广告系列
Delete your Google Tag Manager containers	删除您的 Google 跟踪代码管理器容器
View creatives and campaigns for DoubleClick Studio	查看 DoubleClick Studio 的广告素材和广告系列
View and manage your Google Tag Manager accounts	查看和管理 Google 跟踪代码管理器帐号
Tap a match to see scores, stats, and more	点按比赛即可查看比分、统计信息及其他内容
Type a name, phone, or email	请输入姓名、电话号码或电子邮件地址
This site may be hacked.	此网站可能遭到黑客入侵。
Update your featured image on Search	更新您的 Google 搜索精选图片
Saved items will be added to this collection	保存的图片将会添加到此集合中
Open in Google Podcasts	在 Google 播客中打开
Your Site on Google	您的网站在 Google 搜索结果中的曝光情况
Your activity, while you were signed in to Google.	您登录 Google 后进行的活动。
Add a Finance shortcut to your Home screen	在主屏幕上添加“Google 财经”快捷方式
How your saved activity is used	Google 如何使用所保存的活动记录
To let Google save this information:	要让 Google 保存这些信息：
Your Chrome browsing history	您的 Chrome 浏览记录
Information on your device like recent apps or contact names you searched for	您设备上的信息，例如您最近搜索过的应用和联系人姓名
See or delete your search activity	查看或删除您的搜索活动记录
*Not all languages are supported.	*有些语言不受支持。
Therefore, these pages are no longer accessible from Google search.	因此，这些网页无法再通过 Google 搜索结果进行访问。
Watch the most memorable moments of the tournament	回顾本届世界杯最令人难忘的时刻
Add a missing place to Google Maps.	向 Google 地图添加缺失的地点。
Lifetime on most items	大多数商品终身可退货
Tin Tan’s 103rd Birthday	Tin Tan 诞辰 103 周年
Professor Dorothy Hill’s 111th Birthday	多萝西·希尔教授诞辰 111 周年
Josefa Llanes Escoda’s 120th Birthday	约瑟夫法·伦斯·埃斯科达诞辰 120 周年
Junko Tabei’s 79th Birthday	田部井淳子诞辰 79 周年
Joanna Baillie’s 256th Birthday	乔安娜·贝利利诞辰 256 周年
Fatima Surayya Bajia’s 88th Birthday	Fatima Surayya Bajia 诞辰 88 周年
your One Drive account	您的 One Drive 帐号
Caio Fernando Abreu’s 70th Birthday	Caio Fernando Abreu 诞辰 70 周年
Initiated a bulk download from Drive	已启动从云端硬盘批量下载
We are sorry, the service is currently unavailable. Please verify your internet connection and try again.	抱歉，目前无法使用该服务。请检查您的网络连接，然后重试。
Sent to Google Home	已发送至 Google Home
Send to Google Home	发送至 Google Home
Compare to another index	与其他指数比较
Compare to another stock	与其他股票比较
Next to each stock you want to follow, tap or click the box.	在要关注的每只股票旁边，点按或点击相应的框。
Voice search results come in the same language as your voice search.	语音搜索结果的语言与您进行语音搜索时所用的语言相同。
Pick the language for your search results.	选择搜索结果的语言。
At the top left, tap your photo.	在左上方点按您的照片。
Tap a category to see options and make changes.	点按某个类别即可查看相关选项并做出更改。
At the top left, tap your photo.	在左上方点按您的照片。
You can turn these video previews on or off, and change when they play.	您可以开启或关闭这些视频预览，并可以更改何时播放这些预览。
Videos in your feed could start playing automatically without sound.	动态消息中的视频可以自动开始静音播放。
Videos could start playing automatically without sound.	视频可以自动开始静音播放。
Press the Home button.	按主屏幕按钮。
Replace all existing events	替换所有现有活动
Import from Google Sheets	从 Google 表格导入
This image may be subject to copyright.	此图片可能受版权保护。
Sergey Prokudin-Gorsky’s 155th Birthday	谢尔盖·普罗库金-戈斯基诞辰 155 周年
Viola Desmond’s 104th Birthday	维奥拉·戴斯蒙德诞辰 104 周年
Mehdi Hassan’s 91st Birthday	迈赫迪·哈桑诞辰 91 周年
Leonard Bernstein’s 100th Birthday	伦纳德·伯恩斯坦诞辰 100 周年
José Emilio Pacheco’s 79th Birthday	何塞·埃米利欧·巴切科诞辰 79 周年
Prasanta Chandra Mahalanobis’ 125th Birthday	普拉桑塔·钱德拉·马哈拉诺比斯诞辰 125 周年
Meena Kumari’s 85th Birthday	米娜·古马利诞辰 85 周年
Prayoon Yommium’s 85th Birthday	Prayoon Yommium 诞辰 85 周年
Pumpuang Duangjan’s 57th Birthday	Pumpuang Duangjan 诞辰 57 周年
Dilip Sardesai’s 78th Birthday	迪利普·萨尔德赛诞辰 78 周年
Gerda Taro’s 108th Birthday	格尔达·塔罗诞辰 108 周年
Gauhar Jaan’s 145th Birthday	Gauhar Jaan 诞辰 145 周年
Reload as optimized page	重新加载经过优化的页面
Carmen Conde’s 111th Birthday	卡门·康德诞辰 111 周年
Sort by personal match	按个人匹配情况排序
Hourly, humidity, wind and more	每小时天气、湿度、风况等
See stocks you’re following	查看关注的股票
Tap an upcoming reminder.	点按要删除的待发提醒。
Note that these changes may not appear on all Google Searches.	请注意，这些更改可能不会显示在部分 Google 搜索结果中。
The end date must be after the start date.	结束日期必须晚于开始日期。
Replace all existing events?	要替换所有现有活动吗？
The title must have at least one letter or numeric character.	标题必须至少包含一个字母或数字字符。
Paste the link to your Google spreadsheet here and your events will be imported.	将链接粘贴到此处的 Google 电子表格，即可导入您的活动。
This event will be permanently deleted and cannot be recovered.	此活动将被永久删除且无法恢复。
is missing one or more required field	漏填了一个或多个必填字段
has an invalid start time or date	开始时间或日期无效
has an invalid end time or date	结束时间或日期无效
This search is trending in your area.	此搜索查询是您所在地区的热门搜索内容。
Start repeating Morse symbol after	经过多少时间后开始重复莫尔斯符号
Talal Maddah’s 78th Birthday	Talal Maddah 诞辰 78 周年
Sergey Prokudin-Gorsky’s 155th birthday	谢尔盖·普罗库金-戈斯基诞辰 155 周年
Prayoon Yommium’s 85th birthday	Prayoon Yommium 诞辰 85 周年
Pumpuang Duangjan’s 57th birthday	Pumpuang Duangjan 诞辰 57 周年
Marga Faulstich’s 103rd Birthday	Marga Faulstich 诞辰 103 周年
Meena Kumari’s 85th birthday	米娜·古马利诞辰 85 周年
Leonard Bernstein’s 100th birthday	伦纳德·伯恩斯坦诞辰 100 周年
Gerda Taro’s 108th birthday	格尔达·塔罗诞辰 108 周年
Dilip Sardesai’s 78th birthday	迪利普·萨尔德赛诞辰 78 周年
Celebrating Johann Sebastian Bach	纪念约翰·塞巴斯蒂安·巴赫
Carmen Conde’s 111th birthday	卡门·康德诞辰 111 周年
85th Anniversary of Biskupin settlement discovery	发现比斯库平居民点遗址 85 周年
197th Anniversary of Zugspitze first ascent	首次登顶楚格峰 197 周年
People who liked this also like	喜欢这本书的人也喜欢
Customize cards in your feed	自定义动态消息中的资讯卡
From the top left, tap your profile picture.	在左上方点按您的个人资料照片。
Choose the day or date range.	选择日期或日期范围。
You may be asked to sign in to your Google Account.	系统可能会要求您登录自己的 Google 帐号。
What info is saved in your feed activity	哪些信息会保存在动态消息活动记录中
Which cards you view, swipe away, or hide	您查看、滑开或隐藏的资讯卡
The cards and results that appeared in your feed	动态消息中显示的资讯卡和搜索结果
The device you use to access your feed	您访问动态消息时使用的设备
You can get more helpful cards and search results from your feed activity.	动态消息活动记录有助于您获得更实用的资讯卡和搜索结果。
Would you like to leave feedback about your call?	您是否愿意提供有关与商家通话的反馈？
Featured snippet from the web	网上的精选摘要
Video featured snippet from the web	网上的视频精选摘要
Unable to hide this card. Please try again later.	无法隐藏此会员卡，请稍后重试。
Try an optimized page.	请尝试访问经过优化的页面。
Try again in a few minutes.	请过几分钟再试。
No theaters near the selected location.	所选位置附近没有影院。
Create or delete a reminder	创建或删除提醒
sergej milinkovic-savic news	谢尔盖·米林科维奇-萨维奇新闻
hannes thór halldórsson news	汉纳斯·托尔·哈尔多森新闻
Changes in network conditions	网络状况发生变化
Results can vary for many reasons, like:	测试结果可能会因多种原因而有所不同，比如：
The best internet connections have high download and upload speeds but low latency.	最佳网络连接的下载速度和上传速度会很快，而延迟时间会很短。
Why your test results could vary	测试结果可能会有所不同的原因
There are a few ways you can create a reminder in the Google app:	您可以通过以下几种方式在 Google 应用中创建提醒：
Provide the following to publish this event	要发布此活动，请提供以下内容
Say "Ok Google" to start a voice search.	说“Ok Google”即可启动语音搜索。
Search without lifting a finger. When you say "Ok Google," Chrome will search for what you say next.	不用动手即可搜索。听到您说“Ok Google”后，Chrome 将搜索您接下来所说的内容。
Listening for "Ok Google"	正在收听“Ok Google”指令
Improve voice search by sending the sound of "Ok Google," and a few seconds before, to Google.	将“Ok Google”指令和之前几秒说的内容发送给 Google，帮助我们改进语音搜索。
To get started, set up "Ok Google" on your device.	首先，请在您的设备上设置启动指令“Ok Google”。
To change these times:	要更改这些时间，请执行以下操作：
You can pause, move forward or back, change speed, and shorten silences.	您可以暂停播放、前进或后退、更改播放速度，以及缩短无声部分。
By default, Google Podcasts removes downloaded episodes:	默认情况下，Google 播客会按以下时间移除您下载的各集播客：
Change when downloads are removed	更改下载内容移除时间
Find an episode of a subscribed podcast	查找某集已订阅的播客
Play an episode of a podcast	播放某集播客
On your Android phone or tablet, you can:	在 Android 手机或平板电脑上，您可以：
You can see your subscriptions at the top of Google Podcasts.	您可以在 Google 播客顶部看到自己订阅的播客。
Listen to podcasts on Google Home	通过 Google Home 收听播客
Cast podcasts to Chromecast Audio	将播客投射到 Chromecast Audio
Listen to podcasts with Google Podcasts	通过 Google 播客收听播客
Turn off ads from this advertiser	关闭来自此广告主的广告
Add your favorite stocks for quick access and to stay in know with the latest financial news.	请添加您看好的股票，以便快速查看，并随时了解最新的财经新闻。
Recommendation , featured, storage, shows, episodes, playback speed, offline listening, trim silence	推荐, 精选, 存储, 节目, 集, 播放速度, 离线收听, 剪掉无声部分
Subscribe to podcasts and get the latest episodes	订阅播客，获取最新的内容
You can listen and download any podcast you’ve heard of anywhere, anytime for free.	您可以随时随地免费收听和下载听说过的任何播客。
Trim silence to cut silences from episodes so you finish them faster, saving hours	剪掉各集中的无声部分，更快速地听完播客，节省宝贵时间
Listen to podcasts at your preferred playback speed with the variable speed feature.	借助可变速度功能，以您喜欢的播放速度收听播客。
Safely manage your podcast subscriptions with cloud storage.	借助云端存储空间，安全地管理您的播客订阅。
Listen on all your devices	在您的所有设备上收听
Listen to the same podcast on multiple devices without losing your place.	切换设备收听同一播客时，无需担心找不到之前的收听进度。
Pause on your phone and pick up where you left off on your Google Home.	比如，在手机上暂停播放后，可以通过 Google Home 从停下的地方继续收听。
Receive the latest episodes of your favorite podcasts directly on your phone.	直接在手机上收到喜爱的播客最新的内容。
Google Podcasts is a new way for Android users to discover and listen to any podcast.	Google 播客让 Android 用户能够以全新方式发现和收听任何播客。
Listen to podcasts at faster playback speeds or skip over silences.	以更快的播放速度收听播客，或跳过无声部分。
Find the latest episodes of your favorite podcasts directly on your phone.	直接在手机上找到喜爱的播客最新的内容。
Google Podcasts is a new way for Android users to discover and listen to the world’s podcasts.	Google 播客让 Android 用户能够以全新方式发现和收听世界各地的播客。
You can subscribe to any show for free and download episodes for offline listening.	您可以免费订阅任何节目，并下载播客内容供离线收听。
Anyone with this link can see your collection	知道此链接的任何人都可以查看您的集合
Turn offline search on or off	开启或关闭离线搜索功能
See or remove searches	查看或移除搜索内容
You've helped others make better decisions about places to go	您提供的信息有助于其他用户更明智地选择去处
You've helped others make better decisions about places to go.	您的评价将帮助其他用户更加明智地选择去处。
Failed to move selected items. Try again later.	无法移动所选内容，请稍后重试。
Hide name and show number to others	隐藏姓名，改为向其他人显示电话号码
Failed to remove collection. Try again later.	无法移除集合，请稍后重试。
No targets to send to for this input.	对于这项输入内容，没有可供选择的发送对象。
All items in this collection will be removed.  Are you sure you want to remove this collection?	此集合中的所有内容都将被移除。确定要移除此集合吗？
Type any email address	请输入任意电子邮件地址
Failed to create collection. Try again later.	无法创建集合，请稍后重试。
Type a name or email	请输入姓名或电子邮件地址
Only editable in Maps	只能在 Google 地图中修改
Edit collection in Maps	在 Google 地图中修改集合
Failed to rename collection. Try again later.	无法重命名集合，请稍后重试。
Failed to delete selected items. Try again later.	无法删除所选内容，请稍后重试。
To make sharing easier, Google suggests people to share with based on your interactions	为了便于您更轻松地分享内容，Google 会根据您的互动情况建议分享对象
Access sports in one tap	点按一下即可获取体育资讯
Get back here in one tap	点按一下即可返回此处
Add a shortcut to sports	添加获取体育资讯的快捷方式
Is there flood damage around you?	您周围有洪水造成的破坏吗？
Do you see earthquake damage around you?	您在周围看到地震造成的破坏了吗？
See results in English	查看中文结果
You looked this up	您查询过此内容
Tap on the tags below to vote	点按下面的标签即可投票
How would you describe this movie?	您会如何描述这部影片？
Add your vote to help others	您投的每一票可以帮助其他人
Unavailable for this word	没有该字词的定义
Easy checkout with Google	通过 Google 轻松结帐
Tell me what you think of this one	告诉我您对这个笑话有什么想法
Hey, I know some riddles 😀	嘿，我知道一些谜语 😀
Hey, I know some jokes 😀	嘿，我知道一些笑话 😀
Your ad was disapproved	您的广告已被拒登
Thank you! Your response was recorded.	谢谢！系统已记录您的回复。
A new version is available	有新版本
Prasanta Chandra Mahalanobis’ 125th birthday	普拉桑塔·钱德拉·马哈拉诺比斯诞辰 125 周年
Dame Cicely Saunders’ 100th Birthday	西西里·桑德斯女爵士诞辰 100 周年
What do you think about this album?	您对这张专辑有什么想法？
What do you think about this book?	您对这本书有什么想法？
Your feedback helps others decide which albums to listen to.	您的反馈有助于其他人决定要收听哪些专辑。
Your feedback helps others decide which video games to play.	您的反馈有助于其他人决定要玩哪些视频游戏。
Your feedback helps others decide which books to read.	您的反馈有助于其他人决定要阅读哪些书。
What do you think about this video game?	您对这个视频游戏有什么想法？
world cup top teams	世界杯顶级球队
world cup next match	世界杯下一场比赛
Dates are not final and may change	日期尚未最终确定，可能会有变动
Tap a match to see stats, news, and more	点按比赛即可查看统计信息、新闻及其他相关内容
Easily keep track of your episodes	轻松追剧
Bringing the best of Google to podcasts	将 Google 的技术精华融入播客
You liked this album	您顶了这张专辑
You liked this book	您顶了这本书
You liked this movie	您顶了这部影片
You liked this video game	您顶了这个视频游戏
mohammad al-sahlawi news	穆罕默德·萨赫拉维新闻
heung-min son news	孙兴慜新闻
kevin de bruyne news	凯文·德布劳内新闻
Suggestions based on your search and browsing history	根据您的搜索和浏览记录推荐的内容
Scores are live. Tap to see the match timeline and news.	所示为实时比分。点按即可查看比赛时间表及相关新闻。
Scores are live. Tap to see the game timeline and news.	所示为实时比分。点按即可查看比赛时间表及相关新闻。
New content loaded successfully. Scroll down to read more.	新内容已成功加载。向下滚动即可查看更多内容。
Unable to load more	无法加载更多内容
In your post, mention that you already followed the troubleshooting steps in this article.	请在帖子中说明您已执行过本文中介绍的问题排查步骤。
Posted by Martin Splitt, Webmaster Trends Analyst	发布者：Martin Splitt，网站站长趋势分析师
We also repeated a few key points that web developers should have an eye on when building websites, such as:	我们还重申了网站开发者在构建网站时应注意的一些要点，例如：
to help webmasters understand what prospective users search for.	，以便网站站长了解潜在用户都在搜索些什么。
wrapped up, it’s a great time to reflect on some of the highlights.	已落下帷幕，现在是时候回顾一下本届大会的部分精彩亮点了。
Do you manage this online presence?	您负责管理这项在线内容吗？
Get reminders and live score notifications for all matches	接收所有赛事的提醒和实时比分通知
Send a message to this business.	向该商家发送消息。
Dr. Virginia Apgar’s 109th Birthday	维珍尼亚·阿普伽医生诞辰 109 周年
Make Google my default search engine	将 Google 设为默认搜索引擎
This hotel has exclusive prices for Google One members	这家酒店为 Google One 会员提供专享价格
You’ll be notified with results	您将会在 Google 搜索到符合条件的结果时收到通知
Check your connection and try again	请检查您的网络连接，然后重试
Google won’t retry this search when you’re back online	Google 不会在您的网络连接恢复后重新尝试搜索此内容
Google will retry your search once you’re online again	Google 会在您的网络连接恢复后重新尝试搜索您输入的搜索内容
To run your ad, review and edit your text.	要投放您的广告，请检查并修改广告中的文字内容。
To run your ad, make a payment.	要投放您的广告，请付款。
To run your ad, update your billing.	要投放您的广告，请更新结算信息。
You can also choose whether you want to open links to maps in Google Maps.	您也可以选择是否要在 Google 地图中打开地图链接。
This won’t clear searches you’ve done on other devices or computers.	该功能不会清除您通过其他设备或计算机搜索过的内容。
What other apps you have on your device	您的设备上还有哪些其他应用
For example, you can search for information about your upcoming flights or restaurant reservations.	例如，您可以搜索有关您将要搭乘的航班或餐厅预订的相关信息。
Pink the language for your search results.	选择搜索结果的显示语言。
Change the settings that control voice search and voice actions.	更改用于控制语音搜索和语音操作的设置。
Number of rows per page	每页行数
Have you ever consented to the distribution of the fake images or videos?	您是否曾同意其他人散布这些伪造的图片或视频？
Yes, but not on this site.	是，但不是在此网站上。
Please enter a valid email address	请输入有效的电子邮件地址
In the top right corner of the page, click the gear icon.	点击页面右上角的齿轮图标。
Get reminders and live score notifications for all games	接收所有赛事的提醒和实时比分通知
Satisfied with these results?	对这些搜索结果满意吗？
Ministry of Islamic Affairs, Morocco	摩洛哥伊斯兰教事务部
Click for more results	点击可查看更多结果
Customized stickers based on you	用您的照片定制的贴纸
Weather update for a place	某地的最新天气情况
Viewed a notification about a promotion	查看了关于促销活动的通知
Received a notification about a promotion	收到了关于促销活动的通知
Received a notification about a declined payment	收到了关于付款被拒的通知
Received a notification about a backup payment method	收到了关于备用付款方式的通知
Voted on a poll in	在对以下视频的意见调查中投了票：
Viewed a notification about a declined payment	查看了关于付款被拒的通知
Viewed a notification about a backup payment method	查看了关于备用付款方式的通知
How Google Shopping works	Google 购物的运作方式
Received a notification about an expiring movie or show	收到了关于影片或节目租赁即将过期的通知
Save tags and close dialog	保存标记并关闭对话框
Check your feed for the latest on topics you follow	查看您的资讯流，获取您所关注的主题的最新消息
Info Google stores about my searches	Google 存储的与我的搜索相关的信息
We chose these hotels based on emails about hotel reservations in your Gmail account.	这些酒店都是我们根据您 Gmail 帐号中有关酒店预订的电子邮件选出的。
You could also be eligible to see lower prices that aren’t public.	对方还可能会向您提供更低的非公开价格。
Prices are the public rates available from our partners for the dates you selected.	价格是由我们的合作伙伴根据您选择的日期公开提供的价格。
You can use these ratings to narrow your search.	您可以使用这些评级来缩小搜索范围。
There are 2 types of deals:	特惠有以下两种类型：
Hotels priced below their normal rate or below the rates of similar hotels nearby.	酒店提供的价格低于平时的价格或附近相似酒店的价格。
Use the map to see the location and other hotels in the area.	使用地图查看酒店所在位置以及该区域内的其他酒店。
Within the search results, scroll to the hotel results box.	在搜索结果中滚动到酒店搜索结果框。
At the bottom of the box, tap or click the link.	在搜索结果框的底部，点按或点击相应链接。
Download your data from Google research studies	从 Google 调查中下载您的数据
Failed to update preferences	未能更新偏好设置
Reserve room on Google	在 Google 上预订客房
Your Google Express cart	您的 Google Express 购物车
Your cart is empty	您的购物车是空的
Ask your customers to write a review and rate your business	请客户撰写评价并对您的商家进行评分
At the bottom left, touch and hold the comma.	触摸并按住左下方的逗号，
To confirm that you want to permanently delete these words, enter the number provided.	要确认您希望永久删除这些字词，请输入提供的号码。
Type in more than one language	用多种语言输入内容
Choose languages for Gboard only	仅为 Gboard 选择语言
Information Google stores about your medical searches	Google 存储的与您的医疗搜索内容相关的信息
Medical information on Google comes from high-quality websites, medical professionals, and search results.	Google 上的医疗信息来自优质的网站、医疗专业人士和搜索结果。
We check these results for relevance.	我们会检查这些结果的相关性。
View lineup and top stories on Google.	前往 Google 查看演出阵容和焦点新闻。
Follow the nominees and top stories on Google.	前往 Google 关注被提名者和焦点新闻。
Awards ceremony is starting now	颁奖典礼现在开始
Viola Desmond’s 104th birthday	维奥拉·戴斯蒙德诞辰 104 周年
Kurt Masur’s 91st Birthday	库尔特·马苏尔诞辰 91 周年
Lyudmila Rudenko’s 114th Birthday	柳德米拉·鲁丹科诞辰 114 周年
Mehdi Hassan’s 91st birthday	迈赫迪·哈桑诞辰 91 周年
María Rebeca Latigo de Hernández’s 122nd Birthday	玛丽亚·丽贝卡·L·代·埃尔南德斯诞辰 122 周年
Carlota Jaramillo’s 114th Birthday	卡萝塔·贾拉米洛诞辰 114 周年
Georges Lemaître’s 124th Birthday	乔治·勒梅特诞辰 124 周年
Feroza Begum’s 88th Birthday	费罗莎·贝格姆诞辰 88 周年
Gino Bartali’s 104th Birthday	吉诺·巴塔利诞辰 104 周年
Full cast, reviews and more	完整演员阵容、评价，等等
See a search result.	查看搜索结果。
Tap an instant result or finish typing.	点按即搜即得结果或完成字词输入，
In the search bar, start typing.	在搜索栏中，开始输入内容。
Below the emojis, tap an emoji category.	在表情符号下方，点按所需的表情符号类别。
A word will show in the message field.	消息字段中会显示相应的字词。
To add this shortcut:	要添加此快捷方式，请按下列步骤操作：
Hotels where a partner is offering a discount compared to the current market price for that hotel.	合作伙伴在当前市场价格基础上为特定酒店提供折扣优惠。
Search for hotels on Google	在 Google 上搜索酒店
Select a Google Photo Album	选择一个 Google 相册
Games, news, and standings	比赛、新闻和积分榜
Win probability not available after 80th minute	无法获取 80 分钟后的胜率
Is it flooded around you?	您附近的区域是否遭遇了洪水？
Reorder with Google Express	通过 Google Express 再次下单
total includes taxes + fees	总价包含税费和其他费用
Deleting this entry will unenroll you from the promotion.	如果删除此条目，您将会退出该促销活动。
Provided feedback about a contactless payment issue	已提供有关非接触付款问题的反馈
Receive updates about new features and best practices	接收有关新功能和最佳做法的最新资讯
Read a book in Play Books	通过 Play 图书阅读过书籍
Watched a movie in Play Movies	通过 Play 电影观看过影片
Clicked on a notification about a backup payment method	点击过与备用付款方式有关的通知
Clicked on a notification about an expiring voucher	点击过与即将过期的代金券有关的通知
Clicked on a notification about a lower price	点击过与降价有关的通知
Clicked on a notification about a declined payment	点击过与付款被拒有关的通知
Clicked on a notification about an expiring movie or show	点击过与即将停播的影片或节目有关的通知
Clicked on a notification about a promotion	点击过与促销活动有关的通知
Deleted activity from all time	已删除所有时间的活动记录
Showing English and Hindi definitions together.	一并显示英语定义和印地语定义。
Tap to switch languages.	点按即可切换语言。
Not available on this device	在此设备上不受支持
Most asked on Google	在 Google 上询问最多的问题
Get it with Google Express	通过 Google Express 购买
Marga Faulstich’s 103rd birthday	Marga Faulstich 诞辰 103 周年
Celebrating James Wong Howe	纪念黄宗霑
Prices unavailable for these dates	没有这些日期的价格
You can also update by downloading the latest version of WordPress.	您也可以通过下载最新版本的 WordPress 进行更新。
Expiring movie or show	影片或节目租赁即将过期
Report a problem with the map	报告地图存在的问题
Report a problem with the results	报告结果存在的问题
Report a problem with this question	报告与此提问有关的问题
Report a problem with the directions	报告路线存在的问题
Post updates on Google	在 Google 上发布最新动态
Create posts that appear instantly on Google Search results	创建可立即显示在 Google 搜索结果中的帖子
Tip: Add any location to the search box	提示：您可以向搜索框添加任何地点
Are you sure? Your changes will be public on Google Search.	确定吗？您的更改内容将在 Google 搜索上公开显示。
Create a story on Google	在 Google 上创建故事
This name will appear on Google	以下名称将显示在 Google 上
Pro Tools Session Preparataion	Pro Tools 会话准备
Catch more of the behind-the-scenes action in the video below!	欣赏下面的视频，了解更多幕后故事！
Colors were also very important.	色彩也极其重要。
He created and painted all the assets himself!	在他的电影中，所有素材都是由他自己创作并绘制出来的！
He saw film and cameras as more than just tools to capture images.	在他看来，电影胶片和摄像机不只是拍摄影像的工具，
